Date,Open,High,Low,Close,Volume,Adj Close
20160812,4585.00,4675.00,4585.00,4630.00,651269,0
20160811,4630.00,4650.00,4550.00,4550.00,802096,0
20160810,4600.00,4720.00,4510.00,4630.00,3326871,0
20160809,5320.00,5370.00,4975.00,5030.00,3146031,0
20160808,5030.00,5340.00,4945.00,5240.00,3310763,0
20160805,4940.00,5020.00,4885.00,5010.00,726975,0
20160804,4830.00,4950.00,4830.00,4860.00,303859,0
20160803,4990.00,4990.00,4855.00,4855.00,542337,0
20160802,5040.00,5090.00,4990.00,5000.00,492942,0
20160801,4890.00,5070.00,4880.00,5060.00,968369,0
20160729,4920.00,4945.00,4880.00,4885.00,188003,0
20160728,4970.00,4970.00,4910.00,4915.00,226842,0
20160727,4980.00,4985.00,4925.00,4935.00,320528,0
20160726,4915.00,4970.00,4880.00,4955.00,351033,0
20160725,4950.00,5030.00,4920.00,4935.00,535177,0
20160722,4815.00,4955.00,4815.00,4940.00,558049,0
20160721,4835.00,4870.00,4810.00,4810.00,295109,0
20160720,4800.00,4870.00,4800.00,4825.00,380022,0
20160719,4865.00,4940.00,4810.00,4830.00,795111,0
20160718,4870.00,4875.00,4750.00,4775.00,457015,0
20160715,5200.00,5260.00,4840.00,4870.00,2103868,0
20160714,5000.00,5000.00,4815.00,4870.00,571776,0
20160713,4890.00,5020.00,4880.00,4975.00,948140,0
20160712,4885.00,4930.00,4810.00,4875.00,438193,0
20160711,4960.00,4970.00,4845.00,4880.00,458778,0
20160708,4880.00,5040.00,4845.00,4880.00,872282,0
20160707,4930.00,4930.00,4805.00,4900.00,624934,0
20160706,4820.00,4890.00,4730.00,4820.00,677698,0
20160705,4835.00,4980.00,4745.00,4890.00,1294767,0
20160704,4730.00,4850.00,4705.00,4740.00,579773,0
20160701,4545.00,4810.00,4540.00,4680.00,1202362,0
20160630,4495.00,4550.00,4485.00,4495.00,240799,0
20160629,4450.00,4565.00,4435.00,4455.00,491068,0
20160628,4280.00,4440.00,4270.00,4400.00,394698,0
20160627,4165.00,4450.00,4165.00,4355.00,757876,0
20160624,4715.00,4800.00,4140.00,4355.00,1820841,0
20160623,4700.00,4740.00,4610.00,4650.00,602458,0
20160622,4640.00,5090.00,4600.00,4765.00,2833414,0
20160621,4600.00,4660.00,4520.00,4590.00,391219,0
20160620,4470.00,4625.00,4415.00,4600.00,420095,0
20160617,4410.00,4545.00,4390.00,4475.00,400481,0
20160616,4530.00,4600.00,4350.00,4380.00,784079,0
20160615,4580.00,4630.00,4475.00,4530.00,394635,0
20160614,4550.00,4615.00,4460.00,4530.00,710763,0
20160613,4740.00,4770.00,4625.00,4635.00,564150,0
20160610,4780.00,4855.00,4750.00,4825.00,436752,0
20160609,5000.00,5000.00,4780.00,4805.00,863411,0
20160608,5040.00,5090.00,4890.00,4930.00,950920,0
20160607,5200.00,5270.00,5010.00,5050.00,1167057,0
20160603,5040.00,5270.00,4940.00,5160.00,1759173,0
20160602,4850.00,5080.00,4850.00,5020.00,2085118,0
20160601,4880.00,4920.00,4775.00,4795.00,818903,0
20160531,4765.00,4960.00,4760.00,4900.00,1400124,0
20160530,4650.00,4915.00,4625.00,4795.00,1944307,0
20160527,4775.00,4850.00,4605.00,4655.00,1521302,0
20160526,4840.00,4945.00,4730.00,4780.00,3829768,0
20160525,4595.00,5380.00,4585.00,5230.00,10661759,0
20160524,4705.00,4800.00,4540.00,4540.00,1402072,0
20160523,4555.00,4735.00,4520.00,4610.00,1029831,0
20160520,4310.00,4640.00,4285.00,4540.00,1133656,0
20160519,4450.00,4495.00,4310.00,4310.00,527813,0
20160518,4440.00,4535.00,4330.00,4400.00,1035456,0
20160517,4390.00,4425.00,4280.00,4360.00,557464,0
20160516,4230.00,4520.00,4225.00,4425.00,1265944,0
20160513,4385.00,4400.00,4210.00,4225.00,754099,0
20160512,4270.00,4435.00,4270.00,4390.00,491764,0
20160511,4360.00,4375.00,4280.00,4320.00,401819,0
20160510,4120.00,4325.00,4120.00,4325.00,632004,0
20160509,4310.00,4350.00,4105.00,4165.00,1164032,0
20160504,4460.00,4500.00,4320.00,4325.00,1147331,0
20160503,4475.00,4630.00,4465.00,4585.00,1036216,0
20160502,4570.00,4590.00,4375.00,4400.00,1021713,0
20160429,4670.00,4670.00,4575.00,4590.00,602670,0
20160428,4600.00,4720.00,4595.00,4640.00,1013057,0
20160427,4610.00,4670.00,4570.00,4585.00,811268,0
20160426,4605.00,4675.00,4590.00,4590.00,1122702,0
20160425,4930.00,4955.00,4565.00,4605.00,3321213,0
20160422,5130.00,5190.00,4940.00,4970.00,1239543,0
