Date,Open,High,Low,Close,Volume,Adj Close
20160812,22400.00,23450.00,22400.00,23450.00,86785,0
20160811,22400.00,22600.00,22200.00,22500.00,39288,0
20160810,22700.00,23050.00,22550.00,22600.00,66031,0
20160809,23200.00,23500.00,22600.00,22900.00,122153,0
20160808,22900.00,23900.00,22700.00,23250.00,175554,0
20160805,22650.00,23400.00,22400.00,22700.00,165687,0
20160804,22650.00,23000.00,22450.00,22700.00,73295,0
20160803,22700.00,23100.00,22250.00,22700.00,85604,0
20160802,22900.00,23100.00,22550.00,23000.00,130028,0
20160801,21500.00,22950.00,21250.00,22800.00,244731,0
20160729,21700.00,21900.00,21200.00,21250.00,30905,0
20160728,21200.00,21500.00,20850.00,21500.00,55390,0
20160727,21700.00,21700.00,20850.00,21200.00,79847,0
20160726,21700.00,21850.00,21250.00,21700.00,70498,0
20160725,22100.00,22200.00,21500.00,21700.00,85219,0
20160722,21350.00,22100.00,20950.00,22100.00,183135,0
20160721,20500.00,21600.00,20200.00,21100.00,203078,0
20160720,20450.00,20650.00,20100.00,20100.00,77467,0
20160719,20350.00,20500.00,20150.00,20400.00,50869,0
20160718,20550.00,20600.00,19950.00,20350.00,63149,0
20160715,21200.00,21200.00,20300.00,20550.00,57047,0
20160714,20700.00,21000.00,20350.00,20900.00,75198,0
20160713,20700.00,21050.00,20350.00,20550.00,78446,0
20160712,21400.00,21500.00,20600.00,20700.00,92682,0
20160711,20900.00,21750.00,20800.00,21300.00,151603,0
20160708,21000.00,21150.00,20400.00,20800.00,78018,0
20160707,20600.00,21500.00,20300.00,21000.00,295463,0
20160706,20550.00,20650.00,19800.00,20550.00,277442,0
20160705,18450.00,22250.00,18200.00,20550.00,1275154,0
20160704,18550.00,18550.00,18250.00,18350.00,47175,0
20160701,18150.00,18550.00,18150.00,18450.00,40336,0
20160630,18050.00,18800.00,18050.00,18150.00,47018,0
20160629,18200.00,18650.00,18000.00,18000.00,41964,0
20160628,17750.00,18300.00,17500.00,18250.00,43609,0
20160627,17000.00,18200.00,17000.00,17750.00,73830,0
20160624,18700.00,19150.00,17500.00,17550.00,153483,0
20160623,18650.00,18750.00,18200.00,18500.00,40501,0
20160622,18600.00,19450.00,18300.00,18750.00,102770,0
20160621,17350.00,18550.00,17250.00,18550.00,83702,0
20160620,17250.00,17400.00,17100.00,17300.00,22685,0
20160617,17100.00,17200.00,16750.00,17200.00,32407,0
20160616,17150.00,17450.00,16550.00,16900.00,39355,0
20160615,17400.00,17400.00,17000.00,17300.00,31164,0
20160614,17050.00,17450.00,17000.00,17400.00,33297,0
20160613,16800.00,17300.00,16700.00,17150.00,30676,0
20160610,17350.00,17400.00,16850.00,16950.00,28697,0
20160609,17500.00,17800.00,16700.00,17800.00,51681,0
20160608,17550.00,17600.00,17000.00,17300.00,22743,0
20160607,17250.00,17450.00,17000.00,17400.00,24893,0
20160603,17650.00,17950.00,17200.00,17250.00,25926,0
20160602,18200.00,18350.00,17700.00,17700.00,23002,0
20160601,17750.00,18350.00,17500.00,18150.00,29037,0
20160531,17000.00,17750.00,17000.00,17750.00,24667,0
20160530,17150.00,17350.00,16950.00,17000.00,15452,0
20160527,16900.00,17150.00,16750.00,17150.00,13034,0
20160526,16800.00,17100.00,16700.00,17050.00,26619,0
20160525,16900.00,16950.00,16400.00,16800.00,35273,0
20160524,17100.00,17300.00,16500.00,16750.00,47414,0
20160523,17600.00,17600.00,17000.00,17250.00,24647,0
20160520,17150.00,17750.00,17150.00,17500.00,21828,0
20160519,17550.00,17650.00,17150.00,17400.00,38928,0
20160518,18050.00,18050.00,17600.00,17700.00,24990,0
20160517,18800.00,18800.00,17750.00,18050.00,27240,0
20160516,17950.00,18500.00,17600.00,18500.00,39658,0
20160513,18200.00,18200.00,17900.00,17950.00,17838,0
