Date,Open,High,Low,Close,Volume,Adj Close
20160812,4335.00,4370.00,4185.00,4240.00,69066,0
20160811,4450.00,4450.00,4320.00,4335.00,74403,0
20160810,4300.00,4465.00,4260.00,4390.00,143666,0
20160809,4350.00,4350.00,4215.00,4295.00,68357,0
20160808,4290.00,4430.00,4105.00,4320.00,223670,0
20160805,4075.00,4220.00,4050.00,4220.00,122080,0
20160804,4000.00,4080.00,4000.00,4035.00,29721,0
20160803,4030.00,4095.00,3985.00,4000.00,49201,0
20160802,4085.00,4095.00,4045.00,4055.00,36546,0
20160801,4125.00,4125.00,4055.00,4065.00,50058,0
20160729,4065.00,4110.00,4050.00,4095.00,27804,0
20160728,4065.00,4110.00,4035.00,4065.00,26850,0
20160727,4070.00,4100.00,3980.00,4070.00,43843,0
20160726,4130.00,4140.00,3995.00,4070.00,56617,0
20160725,4035.00,4150.00,3960.00,4130.00,50654,0
20160722,4025.00,4145.00,4010.00,4025.00,49044,0
20160721,4205.00,4230.00,4055.00,4060.00,89812,0
20160720,4310.00,4335.00,4165.00,4205.00,74302,0
20160719,4195.00,4350.00,4150.00,4270.00,191545,0
20160718,4035.00,4170.00,3960.00,4160.00,132100,0
20160715,4125.00,4125.00,4025.00,4035.00,67339,0
20160714,4100.00,4130.00,4000.00,4080.00,74325,0
20160713,4090.00,4125.00,4005.00,4065.00,92798,0
20160712,4030.00,4150.00,3990.00,4090.00,196977,0
20160711,3980.00,3995.00,3865.00,3995.00,187077,0
20160708,4100.00,4655.00,3950.00,3980.00,3041231,0
20160707,3745.00,3835.00,3715.00,3820.00,53216,0
20160706,3830.00,3830.00,3700.00,3745.00,31340,0
20160705,3820.00,3820.00,3730.00,3795.00,30688,0
20160704,3700.00,3905.00,3695.00,3800.00,144246,0
20160701,3685.00,3725.00,3640.00,3700.00,42981,0
20160630,3660.00,3740.00,3625.00,3650.00,30216,0
20160629,3650.00,3710.00,3515.00,3700.00,60783,0
20160628,3400.00,3730.00,3355.00,3680.00,142495,0
20160627,3350.00,3440.00,3320.00,3400.00,53036,0
20160624,3690.00,3700.00,3220.00,3420.00,93496,0
20160623,3760.00,3760.00,3625.00,3690.00,32736,0
20160622,3705.00,3770.00,3680.00,3735.00,25656,0
20160621,3710.00,3710.00,3650.00,3700.00,32952,0
20160620,3620.00,3720.00,3620.00,3710.00,29037,0
20160617,3700.00,3735.00,3625.00,3690.00,39989,0
20160616,3800.00,3800.00,3685.00,3690.00,69124,0
20160615,3750.00,3905.00,3725.00,3815.00,92660,0
20160614,3780.00,3800.00,3700.00,3750.00,47880,0
20160613,3800.00,3800.00,3700.00,3775.00,65484,0
20160610,3890.00,3890.00,3780.00,3825.00,34125,0
