Date,Open,High,Low,Close,Volume,Adj Close
20160812,24450.00,25800.00,24450.00,24450.00,154415,0
20160811,25650.00,26450.00,24250.00,24800.00,235745,0
20160810,24850.00,25750.00,24000.00,25350.00,337792,0
20160809,25000.00,27450.00,24250.00,25150.00,1434646,0
20160808,23900.00,25400.00,22350.00,24550.00,927085,0
20160805,24300.00,25800.00,23500.00,23950.00,957609,0
20160804,23200.00,25000.00,21750.00,24000.00,2254804,0
20160803,15050.00,19750.00,15050.00,19750.00,1124308,0
20160802,15850.00,16200.00,14950.00,15200.00,88171,0
20160801,17300.00,17300.00,15650.00,15950.00,41399,0
20160729,16500.00,17100.00,16500.00,16800.00,23863,0
20160728,17000.00,17100.00,16650.00,16700.00,25742,0
20160727,17400.00,17600.00,16950.00,17000.00,51664,0
20160726,17250.00,17550.00,17250.00,17500.00,20987,0
20160725,17100.00,17450.00,17050.00,17450.00,15795,0
20160722,17100.00,17350.00,17000.00,17100.00,12420,0
20160721,17350.00,17400.00,17050.00,17100.00,29203,0
20160720,17500.00,17500.00,17000.00,17350.00,22818,0
20160719,17500.00,17650.00,17350.00,17500.00,21830,0
20160718,17350.00,17650.00,17150.00,17600.00,16524,0
20160715,17200.00,17800.00,16450.00,17550.00,84191,0
20160714,18000.00,18350.00,17250.00,17350.00,54093,0
20160713,18000.00,18650.00,17900.00,18000.00,53307,0
20160712,17250.00,18050.00,17050.00,17850.00,58151,0
20160711,17300.00,17300.00,16900.00,17150.00,22775,0
20160708,17000.00,17200.00,16700.00,17100.00,18507,0
20160707,16950.00,17500.00,16900.00,17000.00,31174,0
20160706,16400.00,17050.00,16400.00,16950.00,46569,0
20160705,16750.00,17000.00,16000.00,16500.00,107726,0
20160704,17100.00,17350.00,16500.00,16900.00,57032,0
20160701,17300.00,17600.00,17150.00,17300.00,40665,0
20160630,17500.00,17900.00,16350.00,17450.00,143963,0
20160629,19700.00,20800.00,17450.00,17450.00,534799,0
20160628,16950.00,18200.00,16950.00,18000.00,43062,0
20160627,15700.00,17200.00,15700.00,16900.00,81856,0
20160624,18000.00,18500.00,15700.00,16600.00,224091,0
20160623,18000.00,18450.00,17800.00,17950.00,36130,0
20160622,19500.00,19500.00,18200.00,18200.00,96688,0
20160621,19600.00,19800.00,19350.00,19500.00,34554,0
20160620,19700.00,20100.00,19400.00,19600.00,59905,0
20160617,18950.00,20000.00,18950.00,19500.00,77366,0
20160616,20000.00,20150.00,19250.00,19400.00,50620,0
20160615,20400.00,20600.00,19350.00,19900.00,114656,0
20160614,20500.00,20750.00,20100.00,20650.00,200634,0
20160613,20000.00,20600.00,19700.00,20150.00,90659,0
20160610,18900.00,19900.00,18900.00,19800.00,112406,0
20160609,18650.00,19000.00,18650.00,18900.00,27779,0
20160608,18750.00,19200.00,18500.00,18650.00,66726,0
20160607,18500.00,18950.00,18350.00,18700.00,46910,0
20160603,18600.00,19300.00,18350.00,18500.00,108268,0
20160602,17800.00,19150.00,17500.00,18550.00,142797,0
20160601,20650.00,20750.00,17000.00,18050.00,497058,0
20160531,19650.00,20900.00,19650.00,20500.00,151506,0
20160530,19500.00,20100.00,19200.00,20000.00,95807,0
20160527,18800.00,19450.00,18750.00,19350.00,111902,0
20160526,19200.00,19450.00,18100.00,18800.00,88242,0
20160525,18150.00,19400.00,18050.00,18950.00,115891,0
20160524,17200.00,18400.00,17200.00,17950.00,112152,0
20160523,16300.00,17150.00,16300.00,17150.00,85596,0
20160520,15750.00,16800.00,15600.00,16350.00,77106,0
20160519,15800.00,16150.00,15550.00,15900.00,67603,0
20160518,16550.00,16700.00,15950.00,15950.00,111631,0
20160517,16100.00,16500.00,16000.00,16400.00,62059,0
20160516,15800.00,16100.00,15550.00,16050.00,99633,0
20160513,15500.00,16000.00,15500.00,15950.00,91091,0
20160512,15300.00,15600.00,15050.00,15450.00,64761,0
20160511,15000.00,15300.00,14950.00,15200.00,41614,0
20160510,15100.00,15200.00,14800.00,15000.00,29248,0
20160509,15350.00,15350.00,14850.00,15050.00,64974,0
20160504,14600.00,15100.00,14450.00,15050.00,70468,0
20160503,14700.00,15500.00,14500.00,14600.00,78996,0
20160502,14250.00,15650.00,14250.00,14700.00,179153,0
20160429,14350.00,14750.00,14000.00,14350.00,111143,0
20160428,13250.00,14400.00,13200.00,14400.00,178505,0
20160427,12650.00,14000.00,12450.00,13150.00,163076,0
20160426,12850.00,12850.00,12250.00,12650.00,68449,0
20160425,12850.00,13000.00,12400.00,12600.00,41786,0
20160422,12850.00,13050.00,12700.00,12850.00,35243,0
20160421,12950.00,13300.00,12700.00,12800.00,48112,0
20160420,12150.00,13000.00,12150.00,13000.00,94419,0
20160419,12500.00,12650.00,11950.00,12050.00,79429,0
20160418,12900.00,12950.00,12450.00,12450.00,107401,0
20160415,12950.00,13000.00,12500.00,12750.00,40255,0
20160414,12950.00,13050.00,12750.00,12800.00,90294,0
20160412,12800.00,12850.00,12450.00,12750.00,41668,0
20160411,12600.00,12850.00,12300.00,12600.00,49599,0
20160408,12200.00,12550.00,12050.00,12300.00,70844,0
20160407,12200.00,12350.00,12000.00,12150.00,57666,0
20160406,11550.00,12450.00,11300.00,12100.00,115186,0
20160405,11150.00,11600.00,11150.00,11500.00,54456,0
20160404,11350.00,11450.00,11200.00,11250.00,45547,0
20160401,11600.00,11600.00,11250.00,11350.00,28808,0
20160331,11850.00,11850.00,11400.00,11500.00,37102,0
20160330,11250.00,11700.00,11050.00,11600.00,43527,0
20160329,11150.00,11500.00,11100.00,11300.00,30962,0
20160328,11500.00,11650.00,11150.00,11300.00,37201,0
20160325,11700.00,11750.00,11400.00,11500.00,42833,0
20160324,11650.00,11900.00,11350.00,11650.00,66048,0
20160323,11650.00,12100.00,11300.00,11700.00,112919,0
20160322,11100.00,11700.00,11100.00,11650.00,83896,0
20160321,11350.00,11550.00,11000.00,11200.00,90289,0
20160318,12300.00,13450.00,11150.00,11450.00,476808,0
20160317,10500.00,11800.00,10450.00,11300.00,380918,0
20160316,10150.00,10750.00,10000.00,10450.00,92854,0
20160315,10300.00,10500.00,10050.00,10050.00,61072,0
20160314,10200.00,10450.00,10150.00,10300.00,28970,0
20160311,10100.00,10600.00,10100.00,10150.00,35647,0
20160310,10450.00,10550.00,10000.00,10250.00,67640,0
20160309,10200.00,10550.00,10200.00,10400.00,33281,0
20160308,9960.00,10400.00,9960.00,10300.00,39223,0
20160307,10500.00,10700.00,10100.00,10100.00,56869,0
20160304,9900.00,10250.00,9900.00,10250.00,38752,0
20160303,10000.00,10250.00,9910.00,9950.00,45913,0
20160302,10300.00,10400.00,9910.00,10100.00,81749,0
20160229,10200.00,10600.00,10000.00,10200.00,82397,0
20160226,9500.00,11000.00,9450.00,10200.00,338571,0
20160225,9920.00,10100.00,9520.00,9520.00,71073,0
20160224,9850.00,10150.00,9500.00,9920.00,96917,0
20160223,9690.00,9890.00,9450.00,9790.00,82852,0
20160222,9300.00,9990.00,9220.00,9690.00,122664,0
20160219,9200.00,9480.00,9060.00,9300.00,102419,0
