Date,Open,High,Low,Close,Volume,Adj Close
20160812,50800.00,50800.00,50400.00,50700.00,861,0
20160811,50900.00,51100.00,50100.00,51100.00,7737,0
20160810,51800.00,51800.00,50600.00,51400.00,5183,0
20160809,51900.00,51900.00,51100.00,51800.00,1560,0
20160808,50800.00,51900.00,50600.00,51800.00,5347,0
20160805,50000.00,50800.00,49950.00,50800.00,1355,0
20160804,49800.00,50100.00,49800.00,50000.00,2262,0
20160803,49800.00,50100.00,49650.00,50100.00,978,0
20160802,50100.00,50100.00,49500.00,50000.00,4031,0
20160801,50100.00,50100.00,49900.00,50100.00,1229,0
20160729,50000.00,50200.00,49600.00,49950.00,3579,0
20160728,50500.00,50500.00,49900.00,50000.00,4196,0
20160727,50300.00,50700.00,50200.00,50500.00,576,0
20160726,50900.00,50900.00,50000.00,50500.00,1534,0
20160725,50200.00,51000.00,50200.00,50900.00,4127,0
20160722,50200.00,50200.00,49750.00,50200.00,2088,0
20160721,50200.00,50500.00,49750.00,50300.00,2054,0
20160720,49900.00,50200.00,49850.00,50200.00,1663,0
20160719,49950.00,50200.00,49850.00,50200.00,1905,0
20160718,50800.00,50800.00,49900.00,50200.00,1779,0
20160715,50300.00,50800.00,50300.00,50800.00,1040,0
20160714,49900.00,50600.00,49700.00,50600.00,2340,0
20160713,50100.00,51000.00,49750.00,50000.00,5438,0
20160712,50200.00,50200.00,49850.00,50200.00,1610,0
20160711,50100.00,50300.00,49850.00,50200.00,1959,0
20160708,50000.00,50300.00,49350.00,50300.00,1681,0
20160707,50300.00,50300.00,49850.00,50000.00,1747,0
20160706,50800.00,50800.00,49600.00,50300.00,2569,0
20160705,49900.00,50800.00,49900.00,50800.00,1524,0
20160704,50900.00,50900.00,50100.00,50700.00,3559,0
20160701,51100.00,51700.00,50600.00,50900.00,1622,0
20160630,51700.00,51700.00,50700.00,51400.00,1156,0
20160629,50000.00,51300.00,50000.00,51300.00,1145,0
20160628,49900.00,49900.00,49400.00,49800.00,2165,0
20160627,50100.00,50400.00,49500.00,49900.00,1691,0
20160624,51800.00,51800.00,50100.00,50300.00,4494,0
20160623,52000.00,52000.00,51200.00,51800.00,1978,0
20160622,51900.00,52000.00,51800.00,52000.00,1012,0
20160621,51700.00,52000.00,51500.00,52000.00,1415,0
20160620,51800.00,52000.00,51400.00,52000.00,1546,0
20160617,52000.00,52000.00,51300.00,51800.00,1280,0
20160616,52000.00,52000.00,51300.00,52000.00,2040,0
20160615,51900.00,52300.00,51500.00,52300.00,1286,0
20160614,51900.00,52400.00,51900.00,52400.00,1094,0
20160613,51600.00,52400.00,51600.00,52400.00,979,0
20160610,52200.00,52600.00,52100.00,52300.00,1245,0
20160609,52200.00,52400.00,51600.00,52400.00,1911,0
20160608,52200.00,52600.00,52100.00,52400.00,469,0
20160607,52000.00,52400.00,51600.00,52200.00,2059,0
20160603,52300.00,52300.00,51600.00,52100.00,1481,0
20160602,53500.00,53800.00,52000.00,52300.00,3694,0
20160601,51700.00,53700.00,51200.00,53500.00,3841,0
20160531,52700.00,53000.00,51500.00,51700.00,5220,0
20160530,52600.00,52600.00,52400.00,52500.00,1007,0
20160527,52000.00,52700.00,51700.00,52600.00,989,0
20160526,52600.00,52800.00,51800.00,52000.00,1666,0
20160525,52500.00,52600.00,51600.00,52600.00,2577,0
20160524,53100.00,53100.00,52400.00,52400.00,1966,0
20160523,53300.00,53500.00,53100.00,53100.00,617,0
20160520,53800.00,53800.00,52500.00,53300.00,3031,0
20160519,53700.00,53700.00,53100.00,53400.00,1040,0
20160518,53700.00,53900.00,52800.00,53700.00,5569,0
20160517,54700.00,54700.00,53400.00,53900.00,3500,0
20160516,55300.00,55300.00,54500.00,54700.00,2689,0
20160513,55800.00,56900.00,55500.00,55600.00,1845,0
20160512,56100.00,56500.00,56000.00,56500.00,547,0
20160511,56300.00,57300.00,56000.00,56500.00,1773,0
20160510,56100.00,56900.00,56000.00,56300.00,2974,0
20160509,55500.00,56700.00,55500.00,56100.00,4369,0
20160504,55400.00,56200.00,55100.00,55500.00,2902,0
20160503,54900.00,56700.00,54800.00,55500.00,5318,0
20160502,55000.00,55400.00,53400.00,54800.00,3645,0
20160429,55000.00,55300.00,54700.00,55000.00,3865,0
20160428,56000.00,56800.00,54900.00,55300.00,10055,0
20160427,55600.00,56800.00,55200.00,56000.00,4385,0
20160426,55500.00,55700.00,54900.00,55400.00,1740,0
20160425,55700.00,55800.00,54900.00,55100.00,4768,0
20160422,55700.00,56200.00,54800.00,56100.00,4710,0
20160421,56000.00,56300.00,55300.00,55900.00,2584,0
20160420,55500.00,56300.00,55000.00,56000.00,3166,0
20160419,55100.00,56300.00,54900.00,55700.00,3186,0
20160418,55600.00,55600.00,54500.00,54900.00,4374,0
20160415,55200.00,56000.00,54400.00,55600.00,4991,0
20160414,55600.00,55700.00,55000.00,55500.00,2380,0
20160412,55000.00,55900.00,54800.00,55700.00,4361,0
20160411,55100.00,55900.00,54900.00,55000.00,2471,0
20160408,55600.00,56500.00,55000.00,55300.00,2925,0
20160407,55300.00,56800.00,55000.00,56500.00,5085,0
20160406,55400.00,56300.00,55300.00,55800.00,2196,0
20160405,55900.00,57000.00,55500.00,55500.00,5371,0
20160404,56400.00,57000.00,56000.00,56700.00,4068,0
20160401,58200.00,58200.00,56700.00,56800.00,2158,0
20160331,57500.00,57900.00,56700.00,57800.00,3968,0
20160330,58000.00,58000.00,57100.00,57500.00,560,0
20160329,58000.00,58000.00,57000.00,57900.00,979,0
20160328,57800.00,58200.00,56100.00,58100.00,2453,0
20160325,56300.00,57900.00,56000.00,57800.00,1259,0
20160324,57500.00,57500.00,56600.00,56600.00,1062,0
20160323,56500.00,57600.00,56100.00,57500.00,2320,0
20160322,57700.00,58100.00,56000.00,56700.00,1497,0
20160321,56300.00,58000.00,55700.00,57800.00,2103,0
20160318,57100.00,57100.00,55500.00,56300.00,1793,0
20160317,56000.00,57000.00,56000.00,57000.00,1017,0
20160316,58000.00,58000.00,55400.00,55400.00,3458,0
20160315,57300.00,57500.00,57000.00,57300.00,473,0
20160314,57500.00,58900.00,57500.00,57600.00,1232,0
20160311,58200.00,58600.00,57700.00,58600.00,483,0
20160310,58500.00,58700.00,55400.00,58300.00,5598,0
20160309,56000.00,57100.00,56000.00,57100.00,1683,0
20160308,56200.00,56600.00,55600.00,56300.00,689,0
20160307,55500.00,56300.00,55200.00,56300.00,2003,0
20160304,53700.00,55900.00,52100.00,55600.00,5022,0
20160303,54400.00,54600.00,53300.00,53700.00,1949,0
20160302,54000.00,54700.00,53700.00,54400.00,1646,0
20160229,53700.00,54400.00,53700.00,54000.00,1744,0
20160226,54200.00,55300.00,54200.00,54400.00,238,0
20160225,54700.00,55100.00,50500.00,55100.00,3354,0
20160224,54000.00,54700.00,54000.00,54700.00,2442,0
20160223,53300.00,54400.00,53000.00,54000.00,1998,0
20160222,51100.00,54000.00,51100.00,54000.00,1901,0
20160219,52200.00,52500.00,51200.00,52300.00,440,0
20160218,51100.00,52300.00,50600.00,52200.00,1791,0
20160217,51100.00,51500.00,49950.00,51300.00,4105,0
20160216,51600.00,52900.00,50900.00,51100.00,1122,0
20160215,51000.00,51500.00,50700.00,51500.00,981,0
20160212,50700.00,51300.00,49700.00,50700.00,5898,0
20160211,51500.00,51500.00,50700.00,50700.00,850,0
20160205,52000.00,52600.00,51500.00,52100.00,728,0
20160204,51800.00,52200.00,51700.00,52000.00,4346,0
20160203,51500.00,51900.00,50500.00,50800.00,1558,0
20160202,52900.00,53000.00,51500.00,51500.00,1767,0
20160201,51300.00,53000.00,51200.00,53000.00,1222,0
20160129,51300.00,52000.00,51300.00,52000.00,645,0
20160128,51100.00,52000.00,51100.00,51800.00,1377,0
20160127,51600.00,52000.00,51400.00,52000.00,434,0
20160126,52000.00,52000.00,51000.00,51400.00,468,0
20160125,52500.00,52600.00,51000.00,52000.00,1380,0
20160122,51000.00,52700.00,51000.00,52200.00,1341,0
20160121,51500.00,51900.00,50400.00,51500.00,1387,0
20160120,53700.00,54100.00,49300.00,51000.00,7314,0
20160119,53800.00,53800.00,52100.00,53300.00,1458,0
20160118,52700.00,53300.00,51700.00,53300.00,672,0
20160115,52600.00,52600.00,51500.00,51600.00,3166,0
20160114,52600.00,53100.00,51000.00,52600.00,3126,0
20160113,51500.00,53000.00,51500.00,52600.00,1380,0
20160112,51400.00,52200.00,51400.00,51500.00,975,0
20160111,52000.00,52000.00,51000.00,51400.00,1549,0
20160108,50800.00,52000.00,50800.00,52000.00,3589,0
20160107,52600.00,52900.00,52000.00,52100.00,2699,0
20160106,53500.00,53500.00,52100.00,52600.00,2807,0
20160105,54400.00,54400.00,53200.00,53700.00,1022,0
20160104,54000.00,54800.00,53800.00,53800.00,2173,0
20151230,54300.00,55000.00,54000.00,55000.00,1567,0
20151229,55000.00,55000.00,53900.00,54600.00,973,0
20151228,54200.00,55000.00,54200.00,55000.00,1527,0
20151224,54300.00,54900.00,54000.00,54200.00,2255,0
20151223,54000.00,55000.00,53100.00,54400.00,2634,0
20151222,54000.00,54300.00,53500.00,53600.00,2932,0
20151221,55000.00,55000.00,53700.00,54300.00,2317,0
20151218,54200.00,55000.00,54200.00,55000.00,1492,0
20151217,54600.00,54700.00,53500.00,54500.00,1166,0
20151216,53300.00,54400.00,53300.00,54100.00,2717,0
20151215,53700.00,54600.00,53100.00,53400.00,2071,0
20151214,53500.00,53800.00,52900.00,53800.00,1872,0
20151211,52500.00,54100.00,52500.00,53600.00,3640,0
20151210,53200.00,53200.00,52100.00,52700.00,1682,0
20151209,52900.00,52900.00,51700.00,52300.00,1492,0
20151208,53100.00,53700.00,52800.00,52900.00,1651,0
20151207,53000.00,53600.00,52700.00,53400.00,2289,0
20151204,53300.00,53400.00,52000.00,53000.00,2639,0
20151203,53100.00,53800.00,53100.00,53500.00,1522,0
20151202,53600.00,53600.00,52300.00,53000.00,3240,0
20151201,53200.00,53700.00,52700.00,52800.00,4397,0
20151130,52800.00,53500.00,52200.00,52500.00,2563,0
20151127,52800.00,53400.00,52300.00,52500.00,4640,0
20151126,53400.00,53800.00,53100.00,53500.00,2168,0
20151125,53700.00,54100.00,53000.00,53400.00,2987,0
20151124,52800.00,53900.00,52400.00,53000.00,3372,0
20151123,53000.00,53700.00,52200.00,52800.00,5998,0
20151120,53800.00,53900.00,52500.00,53100.00,10686,0
20151119,55800.00,56300.00,53300.00,53400.00,11541,0
20151118,56100.00,56200.00,54900.00,55700.00,4196,0
20151117,56200.00,57600.00,56200.00,56800.00,1231,0
