Date,Open,High,Low,Close,Volume,Adj Close
20160812,5250.00,5350.00,5170.00,5340.00,38771,0
20160811,5340.00,5400.00,5230.00,5270.00,28453,0
20160810,5650.00,5740.00,5380.00,5400.00,61169,0
20160809,5450.00,5610.00,5430.00,5550.00,64780,0
20160808,5360.00,5540.00,5210.00,5430.00,46207,0
20160805,5400.00,5480.00,5330.00,5360.00,44331,0
20160804,5580.00,5680.00,5400.00,5400.00,44962,0
20160803,5480.00,5580.00,5350.00,5580.00,74153,0
20160802,5640.00,5730.00,5470.00,5550.00,51610,0
20160801,5570.00,5680.00,5500.00,5530.00,62226,0
20160729,5800.00,5820.00,5560.00,5600.00,75212,0
20160728,5880.00,6150.00,5660.00,5790.00,212961,0
20160727,5940.00,6020.00,5730.00,5840.00,175604,0
20160726,6020.00,6180.00,5630.00,5940.00,307820,0
20160725,5230.00,6250.00,5100.00,5940.00,790183,0
20160722,5220.00,5320.00,5040.00,5230.00,42657,0
20160721,5080.00,5320.00,4970.00,5140.00,87988,0
20160720,5190.00,5360.00,4995.00,5000.00,112360,0
20160719,5360.00,5580.00,5210.00,5270.00,174341,0
20160718,5160.00,5550.00,5000.00,5370.00,223379,0
20160715,4925.00,5510.00,4840.00,5160.00,388601,0
20160714,5000.00,5020.00,4860.00,4875.00,88885,0
20160713,4745.00,5690.00,4700.00,4950.00,818112,0
20160712,4675.00,4730.00,4625.00,4675.00,37327,0
20160711,4570.00,4770.00,4570.00,4675.00,35571,0
20160708,4590.00,4600.00,4510.00,4600.00,19418,0
20160707,4610.00,4630.00,4565.00,4590.00,17052,0
20160706,4615.00,4615.00,4505.00,4610.00,18497,0
20160705,4590.00,4615.00,4555.00,4580.00,8233,0
20160704,4620.00,4625.00,4510.00,4590.00,40146,0
20160701,4640.00,4640.00,4555.00,4595.00,9164,0
20160630,4430.00,4640.00,4335.00,4590.00,52334,0
20160629,4325.00,4410.00,4325.00,4405.00,13367,0
20160628,4330.00,4335.00,4265.00,4330.00,30299,0
20160627,4345.00,4430.00,4205.00,4330.00,30203,0
20160624,4535.00,4535.00,4250.00,4445.00,25583,0
20160623,4530.00,4530.00,4440.00,4510.00,10834,0
20160622,4550.00,4570.00,4410.00,4510.00,10160,0
20160621,4490.00,4540.00,4455.00,4510.00,3165,0
20160620,4540.00,4600.00,4490.00,4490.00,11983,0
20160617,4520.00,4695.00,4485.00,4515.00,9763,0
20160616,4515.00,4600.00,4420.00,4520.00,7792,0
20160615,4445.00,4580.00,4445.00,4515.00,7997,0
20160614,4535.00,4600.00,4445.00,4445.00,10778,0
20160613,4710.00,4710.00,4535.00,4535.00,11132,0
20160610,4600.00,4690.00,4560.00,4690.00,18995,0
20160609,4615.00,4665.00,4525.00,4600.00,11743,0
20160608,4535.00,4670.00,4535.00,4575.00,3767,0
20160607,4645.00,4695.00,4570.00,4570.00,10069,0
20160603,4615.00,4685.00,4600.00,4645.00,7499,0
20160602,4620.00,4710.00,4580.00,4640.00,13959,0
20160601,4600.00,4640.00,4585.00,4620.00,6314,0
20160531,4620.00,4690.00,4605.00,4640.00,11064,0
20160530,4615.00,4695.00,4600.00,4695.00,6675,0
20160527,4740.00,4740.00,4615.00,4615.00,8895,0
20160526,4760.00,4765.00,4640.00,4710.00,19442,0
20160525,4515.00,4670.00,4515.00,4670.00,14638,0
20160524,4615.00,4615.00,4510.00,4510.00,5251,0
20160523,4665.00,4665.00,4595.00,4605.00,8482,0
20160520,4545.00,4720.00,4535.00,4600.00,21740,0
20160519,4535.00,4600.00,4500.00,4545.00,6447,0
20160518,4570.00,4615.00,4475.00,4535.00,14417,0
20160517,4635.00,4735.00,4570.00,4570.00,22799,0
20160516,4740.00,4740.00,4600.00,4640.00,14545,0
20160513,4625.00,4900.00,4615.00,4720.00,28839,0
20160512,4700.00,4700.00,4645.00,4655.00,2857,0
20160511,4725.00,4800.00,4645.00,4700.00,9272,0
20160510,4725.00,4745.00,4670.00,4725.00,10853,0
20160509,4825.00,4825.00,4695.00,4725.00,15289,0
20160504,4800.00,4800.00,4725.00,4780.00,22084,0
20160503,4745.00,4850.00,4605.00,4800.00,40350,0
20160502,4770.00,4835.00,4695.00,4695.00,17405,0
20160429,4640.00,4845.00,4640.00,4745.00,32079,0
20160428,4660.00,4895.00,4620.00,4620.00,22997,0
20160427,4700.00,4700.00,4635.00,4660.00,2922,0
