Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,54400.0,54400.0,54400.0,54400.0,0,53935.7
2014-01-02,54500.0,54600.0,53600.0,53600.0,167200,53142.53
2014-01-03,53900.0,53900.0,53300.0,53600.0,144200,53142.53
2014-01-06,53400.0,53500.0,52800.0,53100.0,186100,52646.8
2014-01-07,52800.0,53400.0,52700.0,53100.0,114500,52646.8
2014-01-08,53000.0,53300.0,52300.0,52600.0,305400,52151.07
2014-01-09,52500.0,52900.0,52100.0,52400.0,240000,51952.77
2014-01-10,52500.0,52600.0,52000.0,52200.0,211100,51754.48
2014-01-13,52500.0,52500.0,52100.0,52300.0,72200,51853.63
2014-01-14,52300.0,52600.0,52000.0,52400.0,114000,51952.77
2014-01-15,53000.0,53100.0,52000.0,52500.0,170800,52051.92
2014-01-16,52700.0,53700.0,52400.0,53200.0,281200,52745.95
2014-01-17,53200.0,53200.0,52800.0,52900.0,102800,52448.51
2014-01-20,52800.0,53700.0,52800.0,53400.0,157500,52944.24
2014-01-21,53600.0,54300.0,53600.0,53900.0,261000,53439.97
2014-01-22,53700.0,54800.0,53700.0,54500.0,217400,54034.85
2014-01-23,54600.0,54900.0,53900.0,54200.0,189800,53737.41
2014-01-24,54000.0,54100.0,53600.0,53900.0,157900,53439.97
2014-01-27,53000.0,53100.0,52600.0,52900.0,211600,52448.51
2014-01-28,52800.0,53100.0,52200.0,53100.0,152700,52646.8
2014-01-29,53300.0,53300.0,52400.0,53000.0,224000,52547.65
2014-01-30,53000.0,53000.0,53000.0,53000.0,0,52547.65
2014-01-31,53000.0,53000.0,53000.0,53000.0,0,52547.65
2014-02-03,52600.0,52700.0,51600.0,52000.0,277400,51556.19
2014-02-04,51100.0,51400.0,50900.0,51000.0,304600,50564.72
2014-02-05,51300.0,51300.0,50500.0,50900.0,217300,50465.58
2014-02-06,50900.0,51100.0,50600.0,51000.0,136800,50564.72
2014-02-07,51100.0,51200.0,50500.0,50600.0,176300,50168.14
2014-02-10,50900.0,51400.0,50600.0,51400.0,155600,50961.31
2014-02-11,52100.0,52500.0,51700.0,51900.0,310800,51457.04
2014-02-12,52000.0,52000.0,50900.0,51300.0,224700,50862.16
2014-02-13,51200.0,51700.0,50900.0,51100.0,121100,50663.87
2014-02-14,51300.0,51700.0,51200.0,51600.0,110000,51159.6
2014-02-17,52000.0,52000.0,51300.0,51400.0,111200,50961.31
2014-02-18,51400.0,51800.0,51200.0,51400.0,95700,50961.31
2014-02-19,51400.0,51600.0,51100.0,51400.0,76000,50961.31
2014-02-20,51500.0,51700.0,51100.0,51200.0,123200,50763.02
2014-02-21,51300.0,51600.0,51100.0,51300.0,128400,50862.16
2014-02-24,51200.0,51500.0,50700.0,50900.0,181800,50465.58
2014-02-25,51100.0,51800.0,51000.0,51500.0,213300,51060.46
2014-02-26,52000.0,52500.0,51700.0,52300.0,283800,51853.63
2014-02-27,52200.0,52800.0,52000.0,52200.0,227600,51754.48
2014-02-28,52200.0,53100.0,52200.0,52700.0,328700,52250.21
2014-03-03,52400.0,53100.0,52200.0,52800.0,154600,52349.36
2014-03-04,52500.0,53100.0,52500.0,52700.0,168300,52250.21
2014-03-05,53100.0,53800.0,53000.0,53400.0,294800,52944.24
