Date,Open,High,Low,Close,Volume,Adj Close
20160803,8000.00,8070.00,7770.00,8000.00,98166,0
20160802,7810.00,7980.00,7580.00,7920.00,143686,0
20160801,7640.00,7880.00,7520.00,7820.00,146747,0
20160729,7800.00,7850.00,7200.00,7590.00,433552,0
20160728,8180.00,8800.00,7430.00,7650.00,459745,0
20160727,7540.00,8830.00,7430.00,7860.00,1050739,0
20160726,7280.00,7540.00,7020.00,7540.00,239886,0
20160725,6810.00,7250.00,6800.00,7160.00,197145,0
20160722,6810.00,6820.00,6760.00,6800.00,60562,0
20160721,6820.00,6860.00,6760.00,6790.00,58638,0
20160720,6870.00,6930.00,6800.00,6830.00,45834,0
20160719,6850.00,6890.00,6810.00,6880.00,21841,0
20160718,6860.00,6910.00,6760.00,6830.00,47612,0
20160715,6830.00,6920.00,6820.00,6840.00,58603,0
20160714,6890.00,6890.00,6780.00,6830.00,44123,0
20160713,6970.00,6980.00,6800.00,6910.00,58279,0
20160712,7040.00,7040.00,6870.00,6910.00,50578,0
20160711,7060.00,7080.00,6910.00,7040.00,56026,0
20160708,7200.00,7200.00,6810.00,6990.00,130286,0
20160707,7240.00,7260.00,7190.00,7190.00,17892,0
20160706,7250.00,7280.00,7130.00,7240.00,21870,0
20160705,7370.00,7390.00,7260.00,7270.00,33857,0
20160704,7520.00,7520.00,7290.00,7370.00,19164,0
20160701,7460.00,7480.00,7350.00,7360.00,22610,0
20160630,7430.00,7440.00,7350.00,7350.00,24434,0
20160629,7420.00,7500.00,7360.00,7360.00,20485,0
20160628,7330.00,7400.00,7170.00,7390.00,20763,0
20160627,7110.00,7490.00,7040.00,7300.00,42363,0
20160624,7680.00,7680.00,7220.00,7290.00,20448,0
20160623,7730.00,7730.00,7570.00,7690.00,20871,0
20160622,7650.00,7700.00,7620.00,7680.00,15023,0
20160621,7600.00,7720.00,7560.00,7650.00,7696,0
20160620,7700.00,7700.00,7560.00,7620.00,7355,0
20160617,7500.00,7630.00,7460.00,7600.00,16298,0
20160616,7520.00,7660.00,7430.00,7490.00,8905,0
20160615,7480.00,7670.00,7430.00,7640.00,15945,0
20160614,7350.00,7570.00,7320.00,7550.00,18571,0
20160613,7540.00,7550.00,7420.00,7420.00,13165,0
20160610,7650.00,7710.00,7500.00,7650.00,28158,0
20160609,7650.00,7730.00,7600.00,7700.00,26156,0
20160608,7620.00,7760.00,7500.00,7650.00,33561,0
20160607,7480.00,7680.00,7480.00,7530.00,3877,0
20160603,7650.00,7650.00,7460.00,7560.00,20462,0
20160602,7500.00,7650.00,7360.00,7600.00,23781,0
20160601,7250.00,7860.00,7160.00,7500.00,102627,0
20160531,7190.00,7350.00,7170.00,7260.00,10600,0
20160530,7410.00,7410.00,7160.00,7190.00,28855,0
20160527,7230.00,7390.00,7230.00,7310.00,37994,0
20160526,7180.00,7310.00,7120.00,7290.00,29605,0
20160525,7220.00,7230.00,7100.00,7150.00,49518,0
20160524,7440.00,7440.00,7140.00,7160.00,49204,0
20160523,7340.00,7500.00,7190.00,7300.00,66734,0
20160520,7500.00,7500.00,7280.00,7340.00,42879,0
20160519,7450.00,7530.00,7400.00,7410.00,10743,0
20160518,7450.00,7450.00,7320.00,7430.00,26976,0
20160517,7580.00,7580.00,7390.00,7440.00,69501,0
20160516,7620.00,7620.00,7450.00,7520.00,65388,0
20160513,7580.00,7610.00,7480.00,7610.00,20563,0
20160512,7560.00,7670.00,7430.00,7580.00,48836,0
20160511,7700.00,7700.00,7500.00,7600.00,23063,0
20160510,7500.00,7690.00,7450.00,7620.00,39545,0
20160509,7700.00,7870.00,7380.00,7440.00,101877,0
20160504,7860.00,7880.00,7680.00,7760.00,43506,0
20160503,7960.00,7960.00,7850.00,7850.00,37713,0
20160502,8150.00,8150.00,7860.00,7940.00,60797,0
20160429,8090.00,8200.00,7930.00,8120.00,39169,0
20160428,7950.00,8060.00,7920.00,8000.00,39975,0
20160427,8010.00,8010.00,7910.00,7940.00,48815,0
20160426,8040.00,8050.00,7930.00,8000.00,72294,0
20160425,8110.00,8110.00,8000.00,8060.00,32685,0
20160422,8170.00,8170.00,8060.00,8130.00,61142,0
20160421,7960.00,8170.00,7910.00,8090.00,108113,0
20160420,8010.00,8020.00,7950.00,7990.00,40132,0
20160419,8010.00,8070.00,7940.00,8020.00,43100,0
20160418,8000.00,8020.00,7850.00,8000.00,37697,0
20160415,8030.00,8090.00,7960.00,8020.00,37162,0
